央视,#genre#
CCTV-1HD,http://39.134.115.163:8080/PLTV/88888910/224/3221225618/index.m3u8
CCTV-2HD,http://39.134.115.163:8080/PLTV/88888910/224/3221225619/index.m3u8
CCTV-3HD,http://39.134.115.163:8080/PLTV/88888910/224/3221225647/index.m3u8
CCTV-4HD,http://39.134.115.163:8080/PLTV/88888910/224/3221225621/index.m3u8
CCTV-5HD,http://39.134.115.163:8080/PLTV/88888910/224/3221225633/index.m3u8
CCTV-6HD,http://39.134.115.163:8080/PLTV/88888910/224/3221225650/index.m3u8
CCTV-7HD,http://39.134.115.163:8080/PLTV/88888910/224/3221225624/index.m3u8
CCTV-8HD,http://39.134.115.163:8080/PLTV/88888910/224/3221225635/index.m3u8
CCTV-9HD,http://39.134.115.163:8080/PLTV/88888910/224/3221225626/index.m3u8
CCTV-10HD,http://39.134.115.163:8080/PLTV/88888910/224/3221225627/index.m3u8
CCTV-11HD,http://39.134.115.163:8080/PLTV/88888910/224/3221225628/index.m3u8
CCTV-12HD,http://39.134.115.163:8080/PLTV/88888910/224/3221225629/index.m3u8
CCTV-13HD,http://39.134.115.163:8080/PLTV/88888910/224/3221225638/index.m3u8
CCTV-14HD,http://39.134.115.163:8080/PLTV/88888910/224/3221225639/index.m3u8
CCTV-15HD,http://39.134.115.163:8080/PLTV/88888910/224/3221225641/index.m3u8
CCTV-5+HD,http://39.134.115.163:8080/PLTV/88888910/224/3221225649/index.m3u8
CCTV-17HD,http://39.134.115.163:8080/PLTV/88888910/224/3221225908/index.m3u8
CCTV-7HD,http://39.134.66.66/PLTV/88888888/224/3221225671/index.m3u8
CCTV-9HD,http://39.134.66.66/PLTV/88888888/224/3221225676/index.m3u8
CCTV-10HD,http://39.134.66.66/PLTV/88888888/224/3221225677/index.m3u8
CCTV-12HD,http://39.134.66.66/PLTV/88888888/224/3221225669/index.m3u8
CCTV-13,http://39.134.66.66/PLTV/88888888/224/3221225812/index.m3u8
CCTV-14HD,http://39.134.66.66/PLTV/88888888/224/3221225674/index.m3u8
地方卫视,#genre#
北京卫视HD,http://39.135.138.59:18890/PLTV/88888910/224/3221225674/index.m3u8
浙江卫视HD,http://39.135.138.59:18890/PLTV/88888910/224/3221225703/index.m3u8
东方卫视HD,http://39.135.138.59:18890/PLTV/88888910/224/3221225659/index.m3u8
湖南卫视HD,http://39.135.138.59:18890/PLTV/88888910/224/3221225704/index.m3u8
江苏卫视HD,http://39.135.138.59:18890/PLTV/88888910/224/3221225702/index.m3u8
安徽卫视HD,http://39.135.138.59:18890/PLTV/88888910/224/3221225691/index.m3u8
湖北卫视HD,http://39.135.138.59:18890/PLTV/88888910/224/3221225699/index.m3u8
深圳卫视HD,http://39.135.138.59:18890/PLTV/88888910/224/3221225700/index.m3u8
山东卫视HD,http://39.135.138.59:18890/PLTV/88888910/224/3221225697/index.m3u8
辽宁卫视HD,http://39.135.138.59:18890/PLTV/88888910/224/3221225696/index.m3u8
广东卫视HD,http://39.135.138.59:18890/PLTV/88888910/224/3221225701/index.m3u8
黑龙江卫视HD,http://39.135.138.59:18890/PLTV/88888910/224/3221225690/index.m3u8
天津卫视HD,http://39.135.138.59:18890/PLTV/88888910/224/3221225698/index.m3u8
重庆卫视HD,http://39.135.138.59:18890/PLTV/88888910/224/3221225692/index.m3u8
东南卫视HD,http://39.135.138.59:18890/PLTV/88888910/224/3221225657/index.m3u8
江西卫视HD,http://39.135.138.59:18890/PLTV/88888910/224/3221225705/index.m3u8
东方卫视HD,http://39.134.66.66/PLTV/88888888/224/3221225672/index.m3u8
天津卫视HD,http://39.134.66.66/PLTV/88888888/224/3221225665/index.m3u8
江苏卫视HD,http://39.134.66.66/PLTV/88888888/224/3221225503/index.m3u8
浙江卫视HD,http://39.134.66.66/PLTV/88888888/224/3221225514/index.m3u8
深圳卫视HD,http://39.134.66.66/PLTV/88888888/224/3221225668/index.m3u8
湖北卫视HD,http://39.134.66.66/PLTV/88888888/224/3221225569/index.m3u8
湖南卫视HD,http://39.134.66.66/PLTV/88888888/224/3221225506/index.m3u8
NewTv,#genre#
NewTV中国功夫HD,http://39.134.66.66/PLTV/88888888/224/3221225604/index.m3u8
NewTV农业致富HD,http://39.134.66.66/PLTV/88888888/224/3221225552/index.m3u8
NewTV武搏世界HD,http://39.134.66.66/PLTV/88888888/224/3221225547/index.m3u8
NewTV潮妈辣婆HD,http://39.134.66.66/PLTV/88888888/224/3221225542/index.m3u8
NewTV炫舞未来HD,http://39.134.66.66/PLTV/88888888/224/3221225646/index.m3u8
NewTV爱情喜剧HD,http://39.134.66.66/PLTV/88888888/224/3221225533/index.m3u8
NewTV精品体育HD,http://39.134.66.66/PLTV/88888888/224/3221225526/index.m3u8
NewTV精品大剧HD,http://39.134.66.66/PLTV/88888888/224/3221225536/index.m3u8
NewTV精品纪录HD,http://39.134.66.66/PLTV/88888888/224/3221225545/index.m3u8
NewTV超级体育HD,http://39.134.66.66/PLTV/88888888/224/3221225635/index.m3u8
NewTV超级电影HD,http://39.134.66.66/PLTV/88888888/224/3221225644/index.m3u8
NewTV超级电视剧HD,http://39.134.66.66/PLTV/88888888/224/3221225637/index.m3u8
NewTV超级综艺HD,http://39.134.66.66/PLTV/88888888/224/3221225642/index.m3u8
NewTV金牌综艺HD,http://39.134.66.66/PLTV/88888888/224/3221225525/index.m3u8
NewTV怡伴健康HD,http://39.134.66.66/PLTV/88888888/224/3221225571/index.m3u8
NewTV军事评论HD,http://39.134.66.66/PLTV/88888888/224/3221225535/index.m3u8
NewTV军旅剧场HD,http://39.134.66.66/PLTV/88888888/224/3221225560/index.m3u8
NewTV古装剧场HD,http://39.134.66.66/PLTV/88888888/224/3221225524/index.m3u8
NewTV家庭剧场HD,http://39.134.66.66/PLTV/88888888/224/3221225538/index.m3u8
NewTV明星大片HD,http://39.134.66.66/PLTV/88888888/224/3221225550/index.m3u8
其他TV,#genre#
黑莓电竞HD,http://39.134.66.66/PLTV/88888888/224/3221225559/index.m3u8
咪咕视频HD,http://39.134.66.66/PLTV/88888888/224/3221225613/index.m3u8
咪咕视频HD,http://39.134.66.66/PLTV/88888888/224/3221225617/index.m3u8
咪咕视频HD,http://39.134.66.66/PLTV/88888888/224/3221225619/index.m3u8
咪咕视频HD,http://39.134.66.66/PLTV/88888888/224/3221225620/index.m3u8
江西风尚购物HD,http://39.134.66.66/PLTV/88888888/224/3221225521/index.m3u8
CCTV-2,http://39.134.66.66/PLTV/88888888/224/3221225599/index.m3u8
CCTV-5+,http://39.134.66.66/PLTV/88888888/224/3221225507/index.m3u8
CGTN纪录,http://39.134.66.66/PLTV/88888888/224/3221225509/index.m3u8
CETV-1,http://39.134.66.66/PLTV/88888888/224/3221225563/index.m3u8
新疆卫视,http://39.134.66.66/PLTV/88888888/224/3221225582/index.m3u8
河北卫视,http://39.134.66.66/PLTV/88888888/224/3221225495/index.m3u8
甘肃卫视,http://39.134.66.66/PLTV/88888888/224/3221225584/index.m3u8
贵州卫视,http://39.134.66.66/PLTV/88888888/224/3221225576/index.m3u8
辽宁卫视,http://39.134.66.66/PLTV/88888888/224/3221225499/index.m3u8
陕西卫视,http://39.134.66.66/PLTV/88888888/224/3221225567/index.m3u8
青海卫视,http://39.134.66.66/PLTV/88888888/224/3221225573/index.m3u8
内蒙古卫视,http://39.134.66.66/PLTV/88888888/224/3221225577/index.m3u8
青海安多卫视,http://39.134.66.66/PLTV/88888888/224/3221225531/index.m3u8
四川康巴卫视,http://39.134.66.66/PLTV/88888888/224/3221225527/index.m3u8
山东教育卫视,http://39.134.66.66/PLTV/88888888/224/3221225558/index.m3u8
北京卡酷少儿,http://39.134.66.66/PLTV/88888888/224/3221225562/index.m3u8
江苏优漫卡通,http://39.134.66.66/PLTV/88888888/224/3221225556/index.m3u8
湖南金鹰卡通,http://39.134.66.66/PLTV/88888888/224/3221225561/index.m3u8
北京家有购物,http://39.134.66.66/PLTV/88888888/224/3221225554/index.m3u8
HD高清,#genre#
CCTV-1HD,http://183.207.248.166/ott.js.chinamobile.com/PLTV/3/224/3221225530/index.m3u8
CCTV-1HD,http://183.207.248.172/ott.js.chinamobile.com/PLTV/3/224/3221227641/index.m3u8
CCTV-1HD,http://183.207.248.142/ott.js.chinamobile.com/PLTV/3/224/3221227467/index.m3u8
CCTV-2HD,http://183.207.249.167/ott.js.chinamobile.com/PLTV/3/224/3221227427/index.m3u8
CCTV-2HD,http://183.207.248.133/ott.js.chinamobile.com/PLTV/3/224/3221227543/index.m3u8
CCTV-3HD,http://183.207.249.174/ott.js.chinamobile.com/PLTV/3/224/3221227546/index.m3u8
